DATUM;GESCHLECHT;ANZAHL
2019-01-31;Frauen;17850
2019-01-31;Männer;30369
2019-02-28;Frauen;17315
2019-02-28;Männer;26651
2019-03-31;Frauen;16351
2019-03-31;Männer;20813
2019-04-30;Frauen;15614
2019-04-30;Männer;18179
2019-05-31;Frauen;14747
2019-05-31;Männer;17138
2019-06-30;Frauen;14372
2019-06-30;Männer;16182
2019-07-31;Frauen;16075
2019-07-31;Männer;16825
2019-08-31;Frauen;16733
2019-08-31;Männer;17115
2019-09-30;Frauen;15424
2019-09-30;Männer;17253
2019-10-31;Frauen;15923
2019-10-31;Männer;18217
2019-11-30;Frauen;16176
2019-11-30;Männer;19883
2019-12-31;Frauen;17832
2019-12-31;Männer;30088
2020-01-31;Frauen;18178
2020-01-31;Männer;30695
2020-02-29;Frauen;17543
2020-02-29;Männer;26811
2020-03-31;Frauen;28075
2020-03-31;Männer;37379
2020-04-30;Frauen;30700
2020-04-30;Männer;34197
2020-05-31;Frauen;26875
2020-05-31;Männer;29686
2020-06-30;Frauen;23033
2020-06-30;Männer;25415
2020-07-31;Frauen;22027
2020-07-31;Männer;23594
2020-08-31;Frauen;21561
2020-08-31;Männer;22850
2020-09-30;Frauen;18970
2020-09-30;Männer;21755
2020-10-31;Frauen;19371
2020-10-31;Männer;22043
2020-11-30;Frauen;21144
2020-11-30;Männer;24590
2020-12-31;Frauen;22995
2020-12-31;Männer;34839
2021-01-31;Frauen;22956
2021-01-31;Männer;35210
2021-02-28;Frauen;21782
2021-02-28;Männer;31102
2021-03-31;Frauen;20183
2021-03-31;Männer;24316
2021-04-30;Frauen;19064
2021-04-30;Männer;21300
2021-05-31;Frauen;16835
2021-05-31;Männer;18996
2021-06-30;Frauen;15632
2021-06-30;Männer;17463
2021-07-31;Frauen;16419
2021-07-31;Männer;17155
2021-08-31;Frauen;17122
2021-08-31;Männer;17032
2021-09-30;Frauen;15170
2021-09-30;Männer;16548
2021-10-31;Frauen;14852
2021-10-31;Männer;16717
2021-11-30;Frauen;16031
2021-11-30;Männer;18307
2021-12-31;Frauen;17230
2021-12-31;Männer;28190
2022-01-31;Frauen;16585
2022-01-31;Männer;27848
2022-02-28;Frauen;15856
2022-02-28;Männer;23583
2022-03-31;Frauen;14468
2022-03-31;Männer;18179
2022-04-30;Frauen;13738
2022-04-30;Männer;16099
2022-05-31;Frauen;12752
2022-05-31;Männer;14702
2022-06-30;Frauen;12723
2022-06-30;Männer;14352
2022-07-31;Frauen;14284
2022-07-31;Männer;14845
2022-08-31;Frauen;15497
2022-08-31;Männer;15246
2022-09-30;Frauen;13518
2022-09-30;Männer;14960
2022-10-31;Frauen;13756
2022-10-31;Männer;15680
2022-11-30;Frauen;14118
2022-11-30;Männer;16804
2022-12-31;Frauen;15659
2022-12-31;Männer;26928
2023-01-31;Frauen;15819
2023-01-31;Männer;27816
2023-02-28;Frauen;15329
2023-02-28;Männer;24531
2023-03-31;Frauen;14389
2023-03-31;Männer;19083
2023-04-30;Frauen;13812
2023-04-30;Männer;17128
2023-05-31;Frauen;13279
2023-05-31;Männer;16404
2023-06-30;Frauen;13273
2023-06-30;Männer;15922
2023-07-31;Frauen;15214
2023-07-31;Männer;16325
2023-08-31;Frauen;16213
2023-08-31;Männer;16654
2023-09-30;Frauen;14074
2023-09-30;Männer;16314
2023-10-31;Frauen;14024
2023-10-31;Männer;17092
2023-11-30;Frauen;14369
2023-11-30;Männer;18584
2023-12-31;Frauen;16051
2023-12-31;Männer;28786
2024-01-31;Frauen;16687
2024-01-31;Männer;30863
2024-02-29;Frauen;16386
2024-02-29;Männer;27203
2024-03-31;Frauen;15659
2024-03-31;Männer;22403
2024-04-30;Frauen;15057
2024-04-30;Männer;19867
2024-05-31;Frauen;14449
2024-05-31;Männer;18702
2024-06-30;Frauen;14404
2024-06-30;Männer;18193
2024-07-31;Frauen;16553
2024-07-31;Männer;18713
2024-08-31;Frauen;17386
2024-08-31;Männer;19315
2024-09-30;Frauen;15595
2024-09-30;Männer;19074
2024-10-31;Frauen;15846
2024-10-31;Männer;19718
2024-11-30;Frauen;16220
2024-11-30;Männer;21335
2024-12-31;Frauen;17798
2024-12-31;Männer;30478
2025-01-31;Frauen;18403
2025-01-31;Männer;32627
2025-02-28;Frauen;18047
2025-02-28;Männer;29818
2025-03-31;Frauen;17303
2025-03-31;Männer;24288
2025-04-30;Frauen;16789
2025-04-30;Männer;22045
2025-05-31;Frauen;16093
2025-05-31;Männer;20714
2025-06-30;Frauen;16120
2025-06-30;Männer;20054
2025-07-31;Frauen;17963
2025-07-31;Männer;20125
2025-08-31;Frauen;18958
2025-08-31;Männer;20358
2025-09-30;Frauen;17189
2025-09-30;Männer;20342
