JAHR;HOEST_AUSBILDUNG;ANTEIL
2011;Hochschule und Akademie;13.7
2011;Lehrabschluss;39.5
2011;Mittlere und höhere Schule;32.1
2011;Pflichtschule;14.7
2012;Hochschule und Akademie;14.2
2012;Lehrabschluss;39.0
2012;Mittlere und höhere Schule;32.1
2012;Pflichtschule;14.6
2013;Hochschule und Akademie;14.7
2013;Lehrabschluss;38.4
2013;Mittlere und höhere Schule;32.0
2013;Pflichtschule;14.9
2014;Hochschule und Akademie;15.0
2014;Lehrabschluss;37.9
2014;Mittlere und höhere Schule;32.0
2014;Pflichtschule;15.0
2015;Hochschule und Akademie;15.4
2015;Lehrabschluss;37.6
2015;Mittlere und höhere Schule;32.0
2015;Pflichtschule;15.0
2016;Hochschule und Akademie;15.7
2016;Lehrabschluss;37.2
2016;Mittlere und höhere Schule;32.0
2016;Pflichtschule;15.1
2017;Hochschule und Akademie;16.1
2017;Lehrabschluss;36.7
2017;Mittlere und höhere Schule;32.1
2017;Pflichtschule;15.1
2018;Hochschule und Akademie;16.5
2018;Lehrabschluss;36.1
2018;Mittlere und höhere Schule;32.2
2018;Pflichtschule;15.2
2019;Hochschule und Akademie;16.9
2019;Lehrabschluss;35.7
2019;Mittlere und höhere Schule;32.3
2019;Pflichtschule;15.1
2020;Hochschule und Akademie;17.3
2020;Lehrabschluss;35.1
2020;Mittlere und höhere Schule;32.4
2020;Pflichtschule;15.2
2021;Hochschule und Akademie;17.8
2021;Lehrabschluss;34.5
2021;Mittlere und höhere Schule;32.5
2021;Pflichtschule;15.2
2022;Hochschule und Akademie;18.5
2022;Lehrabschluss;33.8
2022;Mittlere und höhere Schule;32.6
2022;Pflichtschule;15.2
