JAHR;MONAT;UEBERNACHTUNGEN
2003;11;207829
2003;12;204450
2004;1;196040
2004;2;214148
2004;3;206777
2004;4;264924
2004;5;594970
2004;6;797705
2004;7;1405815
2004;8;1658191
2004;9;685993
2004;10;345337
2004;11;200344
2004;12;196604
2005;1;215875
2005;2;211907
2005;3;230238
2005;4;247358
2005;5;603744
2005;6;731813
2005;7;1366742
2005;8;1573036
2005;9;691793
2005;10;360504
2005;11;215378
2005;12;206924
2006;1;227404
2006;2;221211
2006;3;221276
2006;4;273273
2006;5;531607
2006;6;760207
2006;7;1353652
2006;8;1397524
2006;9;665888
2006;10;369544
2006;11;222290
2006;12;221733
2007;1;236736
2007;2;243500
2007;3;241721
2007;4;312202
2007;5;571440
2007;6;787967
2007;7;1416994
2007;8;1421871
2007;9;670464
2007;10;379538
2007;11;235410
2007;12;237416
2008;1;240809
2008;2;257399
2008;3;256740
2008;4;284784
2008;5;628419
2008;6;775875
2008;7;1491898
2008;8;1408126
2008;9;661091
2008;10;377775
2008;11;228231
2008;12;233097
2009;1;232922
2009;2;237110
2009;3;235862
2009;4;290795
2009;5;580675
2009;6;755797
2009;7;1367776
2009;8;1475767
2009;9;696390
2009;10;399425
2009;11;230072
2009;12;226890
2010;1;247671
2010;2;249005
2010;3;272100
2010;4;289355
2010;5;565249
2010;6;724240
2010;7;1350427
2010;8;1426130
2010;9;684335
2010;10;398627
2010;11;238380
2010;12;224099
2011;1;242349
2011;2;252157
2011;3;269190
2011;4;324732
2011;5;517976
2011;6;856252
2011;7;1359714
2011;8;1484095
2011;9;707211
2011;10;407143
2011;11;250590
2011;12;246799
2012;1;237346
2012;2;249457
2012;3;255814
2012;4;323973
2012;5;611850
2012;6;819511
2012;7;1365054
2012;8;1510337
2012;9;727579
2012;10;400861
2012;11;262818
2012;12;247743
2013;1;240493
2013;2;233504
2013;3;261290
2013;4;302968
2013;5;625826
2013;6;791691
2013;7;1363289
2013;8;1478300
2013;9;743345
2013;10;417415
2013;11;259616
2013;12;250967
2014;1;234254
2014;2;234522
2014;3;262198
2014;4;313971
2014;5;602860
2014;6;841978
2014;7;1275131
2014;8;1434989
2014;9;691926
2014;10;412899
2014;11;273456
2014;12;265883
2015;1;235795
2015;2;246047
2015;3;268584
2015;4;333026
2015;5;644299
2015;6;833392
2015;7;1307349
2015;8;1458690
2015;9;739572
2015;10;441593
2015;11;305531
2015;12;292412
2016;1;257748
2016;2;283537
2016;3;308781
2016;4;375615
2016;5;649295
2016;6;803862
2016;7;1400147
2016;8;1521287
2016;9;822027
2016;10;485736
2016;11;319027
2016;12;302513
2017;1;271027
2017;2;278051
2017;3;354715
2017;4;394475
2017;5;654300
2017;6;940796
2017;7;1473929
2017;8;1561186
2017;9;833059
2017;10;488687
2017;11;324825
2017;12;326715
2018;1;278009
2018;2;288261
2018;3;337871
2018;4;418138
2018;5;731992
2018;6;957029
2018;7;1490954
2018;8;1552709
2018;9;826678
2018;10;483242
2018;11;334623
2018;12;318707
2019;1;277416
2019;2;286249
2019;3;338430
2019;4;398910
2019;5;712328
2019;6;1027746
2019;7;1462461
2019;8;1548868
2019;9;840920
2019;10;528800
2019;11;347382
2019;12;341401
2020;1;309245
2020;2;309819
2020;3;133800
2020;4;27973
2020;5;116132
2020;6;687740
2020;7;1460247
2020;8;1598645
2020;9;892803
2020;10;430014
2020;11;136167
2020;12;94401
2021;1;101495
2021;2;119571
2021;3;153355
2021;4;144776
2021;5;358078
2021;6;812185
2021;7;1458849
2021;8;1689696
2021;9;995254
2021;10;535644
2021;11;240054
2021;12;166409
2022;1;187314
2022;2;215915
2022;3;272941
2022;4;379440
2022;5;734708
2022;6;1057444
2022;7;1509399
2022;8;1626907
2022;9;925939
2022;10;539517
2022;11;327282
2022;12;316571
2023;1;279114
2023;2;297044
2023;3;327981
2023;4;432557
2023;5;729923
2023;6;1033947
2023;7;1466755
2023;8;1498595
2023;9;911026
2023;10;539869
2023;11;333987
2023;12;342784
2024;1;291401
2024;2;315653
2024;3;363363
2024;4;428348
2024;5;752423
2024;6;998253
2024;7;1475237
2024;8;1591441
2024;9;869729
2024;10;549661
2024;11;360377
2024;12;356526
2025;1;292139
2025;2;286120
2025;3;131515
