JAHR;BAUPERIODE_A;ANZAHL
2021;1961 bis 1970;33018
2021;1971 bis 1980;32869
2021;1981 bis 1990;29215
2021;1991 bis 2000;25990
2021;2001 bis 2010;23250
2021;2011 bis 2020;19219
2021;2021 bis 2022;1229
2021;bis 1960;59645
2022;1961 bis 1970;33052
2022;1971 bis 1980;32938
2022;1981 bis 1990;29298
2022;1991 bis 2000;26045
2022;2001 bis 2010;23260
2022;2011 bis 2020;19425
2022;2021 bis 2022;3071
2022;bis 1960;59602
2023;1961 bis 1970;33087
2023;1971 bis 1980;33008
2023;1981 bis 1990;29352
2023;1991 bis 2000;26121
2023;2001 bis 2010;23273
2023;2011 bis 2020;19566
2023;2021 bis 2022;3878
2023;bis 1960;59583
